e_pas,ena,ek,Rin,tau,RMP
-80,30,-110,1.1404296877506825,61.19421748059241,-65.43375294574743
-80,30,-105,1.1428956453153145,61.05019215428053,-65.39410288553623
-80,30,-100,1.1453890790160732,60.905473467046576,-65.35406799490654
-80,30,-95,1.147910617875163,60.76004835182007,-65.31363964207657
-80,30,-90,1.1504609137623163,60.61390311364576,-65.27280888283344
-80,30,-85,1.1530406425517283,60.46702374317233,-65.23156644471165
-80,30,-80,1.1556505053543193,60.31940182363839,-65.18990271012993
-80,35,-110,1.1413681590460831,61.166181632703896,-65.4203809849455
-80,35,-105,1.1438474964882275,61.021907617021114,-65.38054643805235
-80,35,-100,1.1463546574500107,60.876934409101956,-65.34032231230226
-80,35,-95,1.1488902845025393,60.731248589125734,-65.29969979123503
-80,35,-90,1.1514550437812396,60.5848363855119,-65.25866973619489
-80,35,-85,1.1540496261910491,60.43769033104509,-65.21722266984798
-80,35,-80,1.1566747486911777,60.28978070985147,-65.17534875860613
-80,40,-110,1.142312486900948,61.13806506884478,-65.40692858981838
-80,40,-105,1.144805377615071,60.993540020747965,-65.36690718989819
-80,40,-100,1.1473264465624577,60.84830969999279,-65.3264913629666
-80,40,-95,1.149876350272154,60.70236065337473,-65.28567210232757
-80,40,-90,1.1524557695830084,60.5556786434705,-65.24444006893496
-80,40,-85,1.15506541089945,60.408255784867954,-65.2027855742175
-80,40,-80,1.1577060075316343,60.26006266130804,-65.16069856175118
-80,45,-110,1.1432627521700904,61.109866918497936,-65.39339465797576
-80,45,-105,1.1457693732570886,60.96508833558679,-65.35318398833316
-80,45,-100,1.148304534840018,60.81959840955293,-65.31257394083994
-80,45,-95,1.1508689078309227,60.673383327480295,-65.2715553127901
-80,45,-90,1.15346318822717,60.52642879505931,-65.23011855856404
-80,45,-85,1.1560880984205395,60.37872619232905,-65.18825377172632
-80,45,-80,1.1587443885950632,60.23024654182675,-65.14595066591049
-80,50,-110,1.1442190374873313,61.08158622013555,-65.37977806288667
